group,time,y,se
SUT48,2020-05-21,-11.03435909090909,0.749464525515976
SUT48,2021-08-30,-9.750867441860466,0.49185816840463964
SUT48,2022-06-11,-9.662762857142857,0.606594637120172
SUT48,2023-06-10,-9.60150625,0.38647479829856124
SUT48,2024-07-01,-10.290673684210526,0.4176985414698091
SUT48,2025-06-22,-11.054003448275862,0.48382407108437575
hinatazaka,2016-06-29,-9.108541666666666,0.9356435239220775
hinatazaka,2016-11-30,-10.128275,0.8599892273924487
hinatazaka,2017-04-05,-9.27225,0.836443168250014
hinatazaka,2017-10-25,-11.177415,0.7675428275475816
hinatazaka,2018-03-07,-9.066675,0.5034768851054895
hinatazaka,2018-06-20,-8.724605,0.7352936418972176
hinatazaka,2019-02-27,-10.906633333333334,0.6914614719609107
hinatazaka,2019-03-27,-10.670085714285714,0.8640968758874016
hinatazaka,2019-07-17,-8.330625000000001,0.9806024919157178
hinatazaka,2019-10-02,-9.171915,0.6651711811048103
hinatazaka,2020-02-19,-8.567318181818182,0.6371662828301574
hinatazaka,2020-09-23,-8.825690909090909,0.562143399342762
hinatazaka,2021-05-26,-8.302136363636363,0.5584704649278893
hinatazaka,2021-10-27,-7.0450136363636355,0.6318803797727816
hinatazaka,2022-06-01,-8.654436363636364,0.5790074925886789
hinatazaka,2022-10-26,-9.30499090909091,0.4136672253409508
hinatazaka,2023-04-19,-7.25290625,0.4583636417115724
hinatazaka,2023-07-26,-7.86903125,0.4054750570676103
hinatazaka,2023-11-08,-7.5724580645161295,0.4336622810628673
hinatazaka,2024-05-08,-7.7600482758620695,0.449291541952951
hinatazaka,2024-09-18,-9.364118518518518,0.3481709002961348
hinatazaka,2025-01-29,-8.850096,0.38926767022534337
hinatazaka,2025-05-21,-9.09855,0.6708378784182432
hinatazaka,2025-09-17,-9.843720689655171,0.5404257125842096
hinatazaka,2026-01-05,-10.273903571428573,0.5261039579427431
nogizaka,2011-08-21,-12.835941666666667,0.6160538312952623
nogizaka,2011-09-22,-11.616639393939394,0.6001088222169709
nogizaka,2012-02-22,-12.839045454545454,0.5341279018475115
nogizaka,2012-05-02,-13.631191176470589,0.5916801093102877
nogizaka,2012-08-22,-12.871258823529411,0.5834596987568192
nogizaka,2012-12-19,-13.360540625,0.5959465768479942
nogizaka,2013-03-13,-12.417521212121214,0.5739477728516051
nogizaka,2013-07-03,-11.157475,0.6008634552834455
nogizaka,2013-11-27,-12.76346976744186,0.48937498318755684
nogizaka,2014-04-02,-12.321262790697675,0.44282180280198763
nogizaka,2014-07-09,-13.511781395348839,0.43423494528938383
nogizaka,2014-10-08,-12.6721075,0.412070729807326
nogizaka,2015-03-18,-11.872126315789474,0.369605013684339
nogizaka,2015-07-22,-12.792321621621621,0.4442000365933535
nogizaka,2015-10-28,-12.445205405405405,0.6056445614541652
nogizaka,2016-03-23,-12.316091891891892,0.46157396481026347
nogizaka,2016-07-27,-12.277782857142856,0.44224828770109426
nogizaka,2017-03-22,-11.282008695652173,0.4888626495982616
nogizaka,2018-04-25,-10.008642857142856,0.4820431934606126
nogizaka,2018-11-14,-9.6323775,0.4386009927772899
nogizaka,2019-09-04,-9.143260465116278,0.43496280311095437
nogizaka,2020-03-25,-8.231655319148937,0.3763026303641128
nogizaka,2021-01-27,-8.882736363636363,0.3424907340622642
nogizaka,2021-06-09,-7.4104465116279075,0.449055163776796
nogizaka,2021-12-15,-7.982143589743591,0.4202694029588147
nogizaka,2022-12-07,-8.62664,0.40877584661949773
nogizaka,2023-08-23,-8.23289696969697,0.3592359824526605
nogizaka,2023-12-06,-8.767575757575758,0.3659539330802957
nogizaka,2024-04-10,-8.593042857142857,0.3274640336985826
nogizaka,2024-08-21,-8.71319090909091,0.38759615437909445
nogizaka,2024-12-11,-8.753074193548388,0.5649054795419411
nogizaka,2025-03-26,-7.8332825,0.3772838764230643
nogizaka,2025-07-30,-7.855005128205128,0.459820555945494
nogizaka,2025-11-26,-8.5691,0.41446333820731196
sakurazaka,2015-10-03,-10.741142857142856,0.6618128432596344
sakurazaka,2015-10-23,-9.285166666666665,0.5984789458576807
sakurazaka,2016-03-03,-11.287875,0.6820350876479118
sakurazaka,2016-04-06,-8.886205,0.6397407711629436
sakurazaka,2016-08-10,-11.444984999999999,1.0784605271373733
sakurazaka,2016-11-30,-7.712135000000001,0.7203488790445844
sakurazaka,2017-04-05,-8.68759,0.666323253774812
sakurazaka,2017-10-25,-8.489438095238095,0.6278630219310499
sakurazaka,2018-03-07,-8.861295238095238,0.6388569397751473
sakurazaka,2018-08-15,-7.744123809523809,0.7183994174189214
sakurazaka,2019-02-27,-7.790027777777777,0.6073030908618018
sakurazaka,2020-08-21,-7.623215384615384,0.6250486488313667
sakurazaka,2020-12-09,-6.849788461538462,0.4632382797164701
sakurazaka,2021-04-14,-7.954123999999999,0.6008565600951139
sakurazaka,2021-10-13,-6.669371999999999,0.7494837714613973
sakurazaka,2022-04-06,-5.114039130434783,0.6349133193690447
sakurazaka,2022-08-23,-7.0176727272727275,0.637460024964534
sakurazaka,2023-02-15,-6.888047368421052,0.8973310345558657
sakurazaka,2023-06-28,-7.021648275862069,0.6122551331105474
sakurazaka,2023-10-18,-7.3355310344827585,0.5295741390460738
sakurazaka,2024-02-21,-6.1588370370370376,0.5257905296934625
sakurazaka,2024-06-26,-7.9417888888888895,0.411127087862341
sakurazaka,2024-10-23,-6.639762962962963,0.7222468318387328
sakurazaka,2025-02-19,-6.4924040000000005,0.545812011577857
sakurazaka,2025-06-25,-7.539281818181818,0.5714971544352152
sakurazaka,2025-10-29,-7.673527272727273,0.5214117345964341
